IlluminaID,EnsemblReannotated
ILMN_1765578,ENSG00000163659
ILMN_2060145,ENSG00000083307
ILMN_1679185,ENSG00000138795
ILMN_1794074,ENSG00000119950
ILMN_1775743,ENSG00000133639
ILMN_1800225,ENSG00000132170
ILMN_1696087,ENSG00000215021
ILMN_1815169,ENSG00000100297
ILMN_1795678,ENSG00000186141
ILMN_1821176,ENSG00000101695
ILMN_1703487,ENSG00000143013
ILMN_1815745,ENSG00000124766
ILMN_1701711,ENSG00000112983
ILMN_2349600,ENSG00000112983
ILMN_1730824,ENSG00000243943
ILMN_1795228,ENSG00000107372
ILMN_1803367,ENSG00000085276
ILMN_1702691,ENSG00000118503
ILMN_1798210,ENSG00000165891
ILMN_1707232,ENSG00000108001
ILMN_1694268,ENSG00000144485
ILMN_1718907,ENSG00000179981
ILMN_1799848,ENSG00000152766
ILMN_1806023,ENSG00000177606
ILMN_1782551,ENSG00000133740
ILMN_1686679,ENSG00000148143
ILMN_1718046,ENSG00000172379
ILMN_1682139,ENSG00000039560
ILMN_1722718,ENSG00000125845
ILMN_1651347,ENSG00000179833
ILMN_2063925,ENSG00000132792
ILMN_1755741,ENSG00000165659
ILMN_2074258,ENSG00000138376
ILMN_1682738,ENSG00000166949
ILMN_1663195,ENSG00000166508
ILMN_1752899,ENSG00000119866
ILMN_1764709,ENSG00000204103
ILMN_1751656,ENSG00000172059
ILMN_1849186,ENSG00000164684
ILMN_1669502,ENSG00000112242
ILMN_1787691,ENSG00000179862
ILMN_1657087,ENSG00000144331
ILMN_1739423,ENSG00000198839
ILMN_2316236,ENSG00000171476
ILMN_2074860,ENSG00000183246
